profile_id,first_name,last_name,full_name,linkedin_url,headline,city,country,skills,summary,experience_level
42c651c0-a541-464d-bc6c-b39ea8cf718d,Danielle,Johnson,Danielle Johnson,https://linkedin.com/in/danielle-johnson,Director of Product at IBM,Santa Monica,United States,"Vue.js, HTML5, VS Code, BDD","Executive technology professional with extensive experience in BDD, Vue.js, HTML5. 23+ years of leadership in the tech industry, focused on organizational growth and excellence.",Leadership
79ce012d-94f4-4f29-a131-844497b78e0f,Joshua,Walker,Joshua Walker,https://linkedin.com/in/joshua-walker,Principal Data Scientist at NVIDIA,Oakland,United States,"Lua, Snowflake, IntelliJ, Hadoop, RAG","Visionary Principal Data Scientist with 12+ years of experience leading teams and driving innovation. Deep expertise in Snowflake, IntelliJ, Lua and strategic planning.",Leadership
99845770-8583-4594-8f02-e1aaea508c7a,Jill,Rhodes,Jill Rhodes,https://linkedin.com/in/jrhodes,IT Support Specialist at Snowflake,Los Angeles,United States,"Terraform, Istio, Jenkins, Pulumi, Robotics, Embedded Systems, MariaDB, Rust","Versatile IT Support Specialist with 3+ years in the tech industry. Skilled in Embedded Systems, Pulumi, Jenkins with a focus on driving innovation.",Mid
8f6b3717-d0e5-4f45-8170-6a957255931c,Patricia,Miller,Patricia Miller,https://linkedin.com/in/pmiller512,Cybersecurity Specialist at Cisco,Munich,Germany,"Three.js, High-Performance Computing, Xamarin, Vue.js, Web3, Diffusion Models","Experienced Cybersecurity Specialist with deep expertise in Diffusion Models, Three.js, Xamarin. Passionate about solving challenging technical problems and delivering impactful solutions.",Senior
ccef6c07-e71b-400f-8805-ab6e97b1fcc8,Robert,Johnson,Robert Johnson,https://linkedin.com/in/robert.johnson446,Engineering Manager at Airtable,Chicago,United States,"Clojure, Objective-C, Elixir, Kubernetes, Confluence, IntelliJ, GraphQL, React, Next.js","Tech professional with 5+ years of experience specializing in Confluence, Kubernetes, Clojure. Proven track record of delivering high-quality solutions.",Mid
84d61909-43d0-4363-a9d6-eec989a6ccb1,Jeffery,Wagner,Jeffery Wagner,https://linkedin.com/in/jeffery-wagner498,Head of Technical Support at Lenovo,Nashville,United States,"Cryptography, Ceph, iOS Development, Google Cloud, SQLite, Game Development, Supabase","Visionary Head of Technical Support with 25+ years of experience leading teams and driving innovation. Deep expertise in iOS Development, Cryptography, SQLite and strategic planning.",Leadership
fa5fafd4-2dd4-4b3f-aa6e-ad843eb2d11d,Anthony,Gonzalez,Anthony Gonzalez,https://linkedin.com/in/anthony.gonzalez498,Lead Data Scientist at Lenovo,Santa Monica,United States,"Luigi, Databricks, RAG, Groovy, PostgreSQL, Microsoft Teams, Bitbucket","Technical leader with 11+ years of industry experience. Strong background in Databricks, Bitbucket, PostgreSQL and a focus on driving innovation.",Senior
3d08ea25-ede0-4087-bc6d-65d45249c9c9,Debra,Gardner,Debra Gardner,https://linkedin.com/in/gardner.d188,Lead Data Scientist at Dropbox,Bangkok,Thailand,"GAN, RAG, CouchDB, Figma, Ceph",Lead Data Scientist with a strong background in RAG and RAG. Committed to engineering excellence and continuous learning.,Mid
d511f21f-f281-4d1b-a9c3-dbe757d225ef,Jeffrey,Lawrence,Jeffrey Lawrence,https://linkedin.com/in/jeffrey.lawrence304,Solutions Engineer at eBay,Ho Chi Minh City,Vietnam,"Objective-C, C#, JavaScript, TypeScript, Google Cloud, Obsidian, SOAP, D3.js",Emerging tech professional focused on Google Cloud. Graduated from Pluralsight with a background in Project Management.,Entry
04c70071-2de1-47bb-9259-a8a423671a2f,Lisa,Smith,Lisa Smith,https://linkedin.com/in/lisa.smith,Senior Product Manager at Intel,Los Angeles,United States,"Three.js, D3.js, Next.js, IntelliJ, Reactive Programming","Senior tech professional specializing in D3.js, Next.js, Three.js. 12+ years of experience building complex systems and mentoring junior engineers.",Senior
99c4331f-cd55-4503-a322-e5fea8955edf,Linda,Wolfe,Linda Wolfe,https://linkedin.com/in/linda.wolfe,Customer Success Engineer at SambaNova Systems,Bangkok,Thailand,"C++, Notion, GitHub Actions, Java, Laravel, Swift, Angular",Customer Success Engineer with a strong background in Java and Java. Committed to engineering excellence and continuous learning.,Mid
5113103e-8e53-49d6-922d-8e59809693c7,Matthew,Moore,Matthew Moore,https://linkedin.com/in/matthew-moore,Decision Scientist at ByteDance,Dublin,Ireland,"Hadoop, Go, Groovy, Rust, Xamarin","Junior Scientist with hands-on experience in Groovy, Go, Xamarin. Looking to solve challenging problems and continue developing my skills.",Entry
ad0d9ef9-08e6-46bf-a57c-5792715c36ef,Susan,Rogers,Susan Rogers,https://linkedin.com/in/srogers837,UX Designer at LinkedIn,Portland,United States,"PWA, Webpack, WebGL, Bootstrap, Bitbucket, TDD, XP","Versatile UX Designer with 3+ years in the tech industry. Skilled in PWA, Bitbucket, Bootstrap with a focus on driving innovation.",Mid
9c5ed795-590a-4afe-887f-d3e104698362,Christopher,Davis,Christopher Davis,https://linkedin.com/in/christopher-davis,Technical Account Manager at Sony,Bangkok,Thailand,"BigQuery, MariaDB, MongoDB, Capacitor, ARKit, Microsoft Teams, Figma, Haskell, C++","Versatile Technical Account Manager with 4+ years in the tech industry. Skilled in Figma, C++, Microsoft Teams with a focus on driving innovation.",Mid
